goofing	дурачиться
goofing off	лентяйничать
staging ground	плацдарм
outhouses	надворные постройки
niche	ниша
aesthetic appeal	эстетическая привлекательность
plumbing	сантехника
tap into	подключиться к
aggregates	агрегаты
compatible	совместимый
live-streaming	прямые трансляции
co-authored	в соавторстве
activist	активист
transparency	прозрачность
net neutrality	сетевой нейтралитет
took things too far	зашел слишком далеко
broke into	ворвался
took his own life	лишил себя жизни
found	найденный
media coverage	освещение в СМИ
rustic	деревенский
industrious	трудолюбивый
appeal	обращаться
authentic	подлинный
outspoken	откровенный
quest	искать
geared towards	направлена ​​на
