far-fetched	надуманный
obscure	неясный
frivolous	легкомысленный
exorbitant	непомерный
tempting	соблазнительный
hinder	препятствовать
eye-popping	сногсшибательный
slur	оскорбление
fed up	сыт по горло
rigorous	тщательный
meticulous	дотошный
misconception	заблуждение
delusion	заблуждение
rampant	безудержный
redemption	искупление
contingency	случайность
astonish	удивлять
aspire	стремиться
stigma	клеймо
formidable	грозный
pitch	подача
faint	слабый
stretcher	носилки
headbutt	удар головой
cope	справляться
landmarks	Ориентиры
daunting	пугающий
sanity	здравомыслие
snowdrift	сугроб
bonfire	костер
emerge	появляться
paramount	первостепенный
encompasses	охватывает
keep up	поддерживать
flourish	процветать
streamlined	обтекаемый
a figment of your imagination	плод твоего воображения
backlash	обратная реакция
rummaging through	рыться в
craze	помешательство
in the nick of time	в последний момент
arbitrary	произвольный
brash	дерзкий
indifferent	безразличный
sneak	красться
sneaky	подлый
sneakily	украдкой
derogatory	уничижительный
reckless	безрассудный
gloomy	хмурый
stamina	выносливость
blunder	грубая ошибка
vigilant	бдительный
obsessed	одержимый
stunt	prevent from growing
repercussion	последствия
preposterous	нелепый
verbose	подробный
oblivious	забывчивый
overburden	перегружать
defer	откладывать
landlocked	не имеющий выхода к морю
rocking the boat	disturb the harmony of the situation
foibles	слабости, 
foible	слабая струнка
gripes	жалобы
exasperate	раздражать, сердить
nibble	грызть
candor	откровенность
conceal	скрывать
bottle up	скрывать, сдерживать
riled up	взбесить
sing his praises	петь ему дифирамбы
molesting	приставание
persevere	упорствовать
encroaching	посягательство
adversary	противник
divulge	разглашать
stumbling	спотыкаясь
drunk	пьяный
linchpins	стержни
astonishingly	удивительно
irrevocably	безвозвратно 
irredeemably	непоправимо
pathetic.	жалкий.
turret	башня
baffled	сбитый с толку
annihilated	уничтожен
nimble	проворный
ditch	канава
grinder	мясорубка
blatant lie	наглая ложь
moot	спорный
lapse	упущение
