marvel	чудо
homage	дань уважения
intrepid	бесстрашный
intermittently	с перерывами
whimsical	причудливый
cranky	капризный
decry	порицать, осуждать
bizarre	странный
hideous	отвратительный
tedious	скучный
majestic	величественный
depict	изобразить
gazing	пристально смотреть
feat	подвиг
rocking	раскачивание
ingenious	изобретательный
commemorate	почтить память
enigma	загадка
preposterous	нелепый
procrastinate	откладывать на потом
slacker	бездельник
susceptible 	восприимчивый
conundrums	загадки,complex problems or difficulties
relish	наслаждаться
molesting	приставание
hone	оттачивать
persuade	убеждать
daunting	пугающий
sanity	здравомыслие
stunt	трюк
excel	превосходить
thrive	процветать
deliberate	преднамеренный
outlandish	диковинный
clandestine	тайный
concocted	состряпан
ostensibly	как будто бы
