marvel	чудо 
preposterous	нелепый 
homage	дань уважения 
procrastinate	откладывать на потом 
intrepid	бесстрашный 
slacker	бездельник 
intermittently	с перерывами 
susceptible	восприимчивый
whimsical	причудливый
conundrums	загадки,complex problems or difficulties 
cranky	капризный 
relish	наслаждаться 
decry	порицать, осуждать 
molesting	приставание 
bizarre	странный 
hone	оттачивать 
hideous	отвратительный 
persuade	убеждать 
tedious	скучный 
daunting	пугающий 
majestic	величественный 
sanity	здравомыслие 
depict	изобразить 
stunt	трюк 
gazing	пристально смотреть 
excel	превосходить 
feat	подвиг 
thrive	процветать 
rocking	раскачивание 
deliberate	преднмеренный 
ingenious	изобретательный 
outlandish	диковинный 
commemorate	почтить память	
clandestine	тайный
enigma	загадка 
concocted	состряпан 
ostensibly	как будто бы 
